day,wallet,price
2021-1-1,1000.0,0.053694
2021-1-2,1000.0,0.053668
2021-1-3,1000.0,0.052029
2021-1-4,1000.0,0.06329
2021-1-5,1000.0,0.057647
2021-1-6,1000.0,0.060887
2021-1-7,1000.0,0.078008
2021-1-8,1000.0,0.065138
2021-1-9,1000.0,0.073935
2021-1-10,993.8204088367039,0.075057
2021-1-11,833.0232141058602,0.062913
2021-1-12,793.1152146889661,0.059899
2021-1-13,780.827682021787,0.058971
2021-1-14,780.1483619384281,0.064016
2021-1-15,899.6727729477219,0.073888
2021-1-16,1077.7005394763687,0.088509
2021-1-17,1038.4080422061447,0.085282
2021-1-18,1130.3989987839389,0.092837
2021-1-19,1127.4158373859823,0.092592
2021-1-20,1121.3886337452136,0.092097
2021-1-21,1071.3811077802898,0.08799
2021-1-22,1001.7090689267972,0.082268
2021-1-23,1084.5191941002686,0.089069
2021-1-24,1110.5031386849162,0.091203
2021-1-25,1090.095879489101,0.089527
2021-1-26,983.7735720321459,0.080795
2021-1-27,1159.475690287284,0.095225
2021-1-28,1120.5363019172262,0.092027
2021-1-29,1164.845380803605,0.095666
2021-1-30,1325.497754210278,0.10886
2021-1-31,1223.7049816106278,0.1005
2021-2-1,1230.0365894756776,0.10102
2021-2-2,1337.673923181528,0.10986
2021-2-3,1457.1221407894907,0.11967
2021-2-4,1712.5781658063163,0.14065
2021-2-5,1864.0497078086667,0.15309
2021-2-6,1936.1326281184668,0.15901
2021-2-7,2068.7311082153797,0.1699
2021-2-8,2515.5965094602557,0.2066
2021-2-9,2605.700159847506,0.214
2021-2-10,3215.726225307132,0.2641
2021-2-11,2700.430754443831,0.22178
2021-2-12,2758.3893187469807,0.22654
2021-2-13,3026.7520828733313,0.24858
2021-2-14,3338.462008537332,0.27418
2021-2-15,2614.7105248862304,0.21474
2021-2-16,2946.9981761116437,0.24203
2021-2-17,2672.669089189381,0.2195
2021-2-18,3115.029307914894,0.25583
2021-2-19,3557.146003260983,0.29214
2021-2-20,3406.4050313969074,0.27976
2021-2-21,3756.5916510100583,0.30852
2021-2-22,3440.985351275258,0.2826
2021-2-23,3141.3298328927945,0.25799
2021-2-24,2947.972269629344,0.24211
2021-2-25,3007.330314089374,0.23837
2021-2-26,3007.330314089374,0.22865
2021-2-27,3007.330314089374,0.23722
2021-2-28,3007.330314089374,0.25
2021-3-1,3007.330314089374,0.25389
2021-3-2,3007.330314089374,0.27124
2021-3-3,3366.7330026794066,0.30392
2021-3-4,3578.0954194046076,0.323
2021-3-5,3570.7841408386416,0.32234
2021-3-6,4362.950095766268,0.39385
2021-3-7,4128.878404707385,0.37272
2021-3-8,4345.5581149351065,0.39228
2021-3-9,5231.109037000754,0.47222
2021-3-10,4478.601229446095,0.40429
2021-3-11,5062.063414399781,0.45696
2021-3-12,4937.439347934451,0.44571
2021-3-13,5816.011322278041,0.52502
2021-3-14,7267.189340674337,0.65602
2021-3-15,7439.336717818447,0.67156
2021-3-16,6585.024895080108,0.59444
2021-3-17,6654.592818404755,0.60072
2021-3-18,6964.32516492659,0.62868
2021-3-19,6449.10157992192,0.58217
2021-3-20,6605.407853506438,0.59628
2021-3-21,6372.000824135369,0.57521
2021-3-22,6934.083058131003,0.62595
2021-3-23,7074.326674259989,0.63861
2021-3-24,7127.831940129105,0.64344
2021-3-25,6554.78278828452,0.59171
2021-3-26,7026.360255789332,0.63428
2021-3-27,7937.832983679769,0.71656
2021-3-28,9088.473142235673,0.82043
2021-3-29,8539.241034204464,0.77085
2021-3-30,8811.752326208652,0.79545
2021-3-31,8854.40145117679,0.7993
2021-4-1,8037.199906008126,0.72553
2021-4-2,7595.199883611086,0.68563
2021-4-3,7628.432968001841,0.68863
2021-4-4,7084.628930421122,0.63954
2021-4-5,7078.465303251656,0.68732
2021-4-6,7078.465303251656,0.66212
2021-4-7,7078.465303251656,0.63545
2021-4-8,7078.465303251656,0.60945
2021-4-9,7078.465303251656,0.63408
2021-4-10,7078.465303251656,0.66413
2021-4-11,7078.465303251656,0.64497
2021-4-12,7078.465303251656,0.6535
2021-4-13,7078.465303251656,0.61828
2021-4-14,7078.465303251656,0.59993
2021-4-15,7078.465303251656,0.5912
2021-4-16,7078.465303251656,0.61168
2021-4-17,7078.465303251656,0.65149
2021-4-18,7078.465303251656,0.50781
2021-4-19,7078.465303251656,0.55729
2021-4-20,7078.465303251656,0.44205
2021-4-21,7078.465303251656,0.53046
2021-4-22,7078.465303251656,0.47042
2021-4-23,7078.465303251656,0.38
2021-4-24,7078.465303251656,0.392
2021-4-25,7078.465303251656,0.36459
2021-4-26,7078.465303251656,0.40004
2021-4-27,7078.465303251656,0.4707
2021-4-28,7078.465303251656,0.58166
2021-4-29,7497.258335768917,0.6092
2021-4-30,7240.909203900785,0.58837
2021-5-1,7662.291550284121,0.62261
2021-5-2,7902.0266001540795,0.64209
2021-5-3,7855.014901462947,0.63827
2021-5-4,7092.120869561576,0.57628
2021-5-5,6905.058612989535,0.56108
2021-5-6,7495.781528480191,0.60908
2021-5-7,6801.189833682428,0.55264
2021-5-8,6989.236628446954,0.56792
2021-5-9,6630.49552456044,0.53877
2021-5-10,6579.96947864038,0.57427
2021-5-11,6579.96947864038,0.48309
2021-5-12,6579.96947864038,0.55038
2021-5-13,6579.96947864038,0.47026
2021-5-14,6579.96947864038,0.45847
2021-5-15,6579.96947864038,0.46574
2021-5-16,6579.96947864038,0.55288
2021-5-17,6579.96947864038,0.43129
2021-5-18,6579.96947864038,0.46229
2021-5-19,6579.96947864038,0.45689
2021-5-20,6579.96947864038,0.32244
2021-5-21,6579.96947864038,0.3629
2021-5-22,6579.96947864038,0.26744
2021-5-23,6579.96947864038,0.25586
2021-5-24,6579.96947864038,0.22898
2021-5-25,6579.96947864038,0.27929
2021-5-26,6579.96947864038,0.2932
2021-5-27,6579.96947864038,0.30487
2021-5-28,6579.96947864038,0.30616
2021-5-29,6579.96947864038,0.32241
2021-5-30,6579.96947864038,0.27402
2021-5-31,6579.96947864038,0.2886
2021-6-1,6579.96947864038,0.32313
2021-6-2,6579.96947864038,0.31817
2021-6-3,6579.96947864038,0.36027
2021-6-4,6579.96947864038,0.37812
2021-6-5,6794.881655027113,0.39081
2021-6-6,6182.175661006603,0.35557
2021-6-7,6231.379916485549,0.3584
2021-6-8,5315.276658116063,0.30571
2021-6-9,5409.496409066366,0.30215
2021-6-10,5409.496409066366,0.31283
2021-6-11,5409.496409066366,0.29066
2021-6-12,5409.496409066366,0.26125
